title,type,num_episode,release_date,All realesed ,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18
Transatlantic,TV,8,04/07/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,404,400,378,349,291,187,116,100,85,
Beef,TV,8,04/06/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,505,553,615,649,667,679,643,576,605,606,572
Demon Slayer: Kimetsu no Yaiba,TV,6,04/06/2019,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
Lewis Capaldi: How I'm Feeling Now,Movie,,04/05/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,
Cunk on Earth,TV,10,04/03/2018,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Crimes,Movie,,04/03/2002,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krigsseileren,TV,10,04/02/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,384,,396,,,,,,,,,,,,
Copycat Killer,TV,10,03/31/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,130,,,,,,,,,,,
Murder Mystery 2,Movie,,03/31/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,873,873,876,876,876,856,831,767,703,642,541,527,528,442,443,434,348
Tin & Tina,Movie,,03/31/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Unholy,Movie,,03/31/2021,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,103,94,90,,,,,,,,,,,,,,,,,,
Dasara,Movie,,03/30/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstable,TV,12,03/30/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,133,,,,,,,,,,,,,,,
Emergency: NYC,TV,11,03/29/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,149,,,,,,,,,,,,,,,,,
Unseen,TV,5,03/29/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,368,383,368,335,253,,231,210,146,,109,,,,,,,,
Wellmania,TV,6,03/29/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,286,252,272,264,253,,242,232,143,115,,,,,,,,,
Home,Movie,,03/27/2015,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,139,143,174,112,122,115,160,183,213,219,149,,,
Noah,Movie,,03/26/2014,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,229,230,305,283,243,303,313,338,362,336,221,152,110,
Biz Kimden Kaçıyorduk Anne?,TV,8,03/24/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,444,571,623,633,566,461,369,336,304,244,,221,181,,,,,,,,,,,
Chor Nikal Ke Bhaga,Movie,,03/24/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,482,534,609,603,564,509,352,238,184,90,,,,,,,,,,,,,,
The Night Agent,TV,6,03/23/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,878,880,881,880,878,880,879,872,873,870,862,,859,857,847,847,841,825,823,819,789,742,743,758,722
Power Rangers,Movie,,03/23/2017,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,
Waco: American Apocalypse,TV,11,03/22/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,223,161,134,110,,,,,,,,,,,,,,,,,,,,,,
Selling Sunset,TV,5,03/22/2019,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowing,Movie,,03/20/2009,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Rojo,TV,10,03/19/2021,TRUE,,,,,,,,,,,,,,,204,209,211,192,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolls World Tour,Movie,,03/19/2020,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,166,176,182,149,141,122,136
Nobody,Movie,,03/18/2021,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,98,99,,,,184,171,163,162,155,148,145,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasta el cielo: La serie,TV,6,03/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,491,585,592,588,501,300,155,88,,,,,,,,,,,,,,,,,,,,,,,
In His Shadow,Movie,,03/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,255,339,479,471,439,357,240,121,,,,,,,,,,,,,,,,,,,,,,,
Noise,Movie,,03/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,462,551,531,459,306,147,,,,,,,,,,,,,,,,,,,,,,,,
She's the Man,Movie,,03/17/2006,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,147,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Chatterjee Vs Norway,Movie,,03/16/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeance: A Love Story,Movie,,03/16/2017,TRUE,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money Shot: The Pornhub Story,Movie,,03/15/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,662,502,368,291,274,235,214,134,,,,,,,,,,,,,,,,,,,,,,,,,
I Still Believe,Movie,,03/12/2020,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,169,159,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deep End of the Ocean,Movie,,03/12/1999,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlast,TV,11,03/10/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,254,267,224,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Magician's Elephant,Movie,,03/10/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,655,652,631,605,591,575,595,535,439,336,265,241,236,160,79,,,,,,,,,,,,,,,,
Faraway,Movie,,03/08/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,640,576,645,660,655,651,570,455,285,167,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH370: The Plane That Disappeared,TV,12,03/08/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,753,695,681,612,508,460,441,326,273,266,201,139,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu Jhoothi Main Makkaar,Movie,,03/08/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula 1: Drive to Survive,TV,5,03/08/2019,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,528,508,471,407,372,300,251,192,153,154,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tears of the Sun,Movie,,03/07/2003,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,124,133,144,124,104,128,112,91,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rock: Selective Outrage,Movie,,03/04/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love at First Kiss,Movie,,03/03/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,441,500,463,429,337,275,216,163,130,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonight You're Sleeping with Me,Movie,,03/01/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,509,434,405,346,334,285,301,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Too Hot to Handle: Germany,TV,5,02/28/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Reina del Sur,TV,12,02/28/2011,TRUE,252,238,253,265,271,264,261,258,249,261,261,264,246,240,226,229,238,271,288,280,259,234,224,230,232,238,233,213,207,217,219,213,224,217,213,208,215,221,216,215,196,180,177,191,176,165,162,157,138,150,150,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings: Valhalla,TV,10,02/25/2022,TRUE,,,,,,,,,,,,,577,672,703,708,678,668,653,604,551,459,436,379,355,340,293,208,187,219,228,184,161,158,152,125,160,149,148,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther: The Fallen Sun,Movie,,02/24/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,887,887,887,887,885,869,861,849,825,762,737,740,739,709,711,724,630,612,607,590,422,330,294,155,117,120,119,120,121,121,,,,,,,,
We Have a Ghost,Movie,,02/24/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,850,861,860,863,818,760,727,712,680,543,495,442,430,382,409,401,273,252,170,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginny & Georgia,TV,3,02/24/2021,TRUE,,,,,,734,800,795,789,799,791,788,772,754,726,720,726,722,718,714,689,650,627,640,633,634,607,562,512,502,521,512,521,532,528,512,520,534,486,482,430,406,347,361,301,244,169,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me Chihiro,Movie,,02/23/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,150,177,207,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murdaugh Murders: A Southern Scandal,TV,6,02/22/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,234,215,251,264,244,179,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triada,TV,4,02/22/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,590,598,601,624,583,560,425,335,288,269,223,201,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodshot,Movie,,02/20/2020,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,202,210,210,209,209,184,190,170,152,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Girl and an Astronaut,TV,3,02/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Boksoon,Movie,,02/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,618,645,611,571,570,491,389,296,258,210,177,163,164,113,,,
Shehzada,Movie,,02/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,254,323
The Strays,Movie,,02/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,753,697,665,680,678,638,500,321,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlocked,Movie,,02/17/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,421,444,428,396,354,295,228,214,188,156,133,121,107,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Healer,Movie,,02/17/2017,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaathi,Movie,,02/16/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,129,135,136,145,126,132,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Rider,Movie,,02/16/2007,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,,,,,,,,,,,,
The Law According to Lidia Poët,TV,11,02/15/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,405,466,453,408,376,,278,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fauda,TV,7,02/15/2015,TRUE,,,,,,,,,,,,,,,,,,,,,186,339,355,333,316,278,231,,,143,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the Places,Movie,,02/14/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,160,150,149,134,97,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Love All Over Again,TV,9,02/14/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Match,TV,6,02/14/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,386,355,320,279,253,218,,527,421,361,323,300,309,529,526,425,368,306,270,264,260,214,174,124,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squared Love All Over Again,Movie,,02/13/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,487,420,514,215,178,201,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Is Blind,TV,12,02/13/2020,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,259,291,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,385,367,361,337,306,225,471,450,376,346,,301,244,491,432,362,336,301,270,198,418,296,238,364
10 Days of a Good Man,Movie,,02/10/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,422,483,335,240,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love to Hate You,TV,6,02/10/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,454,426,326,233,194,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Place or Mine,Movie,,02/10/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,840,854,845,828,810,798,768,763,738,690,636,554,468,419,407,365,308,173,134,131,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Dad the Bounty Hunter,TV,6,02/09/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Exchange,Movie,,02/08/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fifty Shades Darker,Movie,,02/08/2017,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colors of Love,Movie,,02/04/2021,TRUE,135,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faraaz,Movie,,02/03/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,161,113,83,83,,,,,,,,,,,,
Infiesto,Movie,,02/03/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,304,423,443,413,322,249,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Spirit,Movie,,02/03/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,347,563,628,661,656,621,490,413,321,262,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firefly Lane,TV,10,02/03/2021,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterix & Obelix: The Middle Kingdom,Movie,,02/01/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong Side of the Tracks,TV,9,02/01/2022,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,334,385,402,421,434,442,375,309,238,225,207,202,186,183,140,108,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hurricane Heist,Movie,,02/01/2018,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,184,187,155,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pamela, A Love Story",Movie,,01/31/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,460,500,358,305,239,231,224,194,191,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next in Fashion,TV,7,01/29/2020,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,464,471,478,475,372,269,187,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockwood & Co.,TV,4,01/27/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,585,631,635,597,568,533,495,445,426,394,322,284,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Snow Girl,TV,10,01/27/2023,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,548,620,623,597,586,557,526,506,488,444,371,332,220,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soy Georgina,TV,4,01/27/2022,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,429,398,385,351,280,222,180,169,,,,,,,,,,,,,,,,
The Lodge,Movie,,01/25/2019,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agneepath,Movie,,01/25/2012,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
